GivenName,Surname,Birthday,CountryFull,Kilograms,Centimeters,BloodType
Cruz,Kerr,8/1/1982,Belgium,98.7,185,A+
Guilherme,Ferreira,11/15/1979,Belgium,75.6,189,A+
Gordey,Vinogradov,1/7/1991,Czech Republic,76.3,185,O-
Chris,Demartino,11/11/1992,Canada,77.7,188,A+
Tiago,Santos,4/27/1987,Brazil,63.1,183,A+
Avdei,Andreyev,6/21/1984,Belgium,64.1,168,B+
Scudamor,Puddifoot,10/30/1991,Belgium,62.4,110,AB+
Kieron,Johnstone,2/14/1990,Austria,108.7,187,O+
Darryl,Burns,11/18/1986,Czech Republic,80.0,186,O+
Quinn,Ferguson,9/25/1991,Cyprus (Anglicized),84.9,178,O-
Bilcuzal,Lothran,1/27/1986,Brazil,66.6,109,A+
Baillie,Maclean,1/27/1989,Czech Republic,69.0,172,O-
Prokhor,Shubin,2/13/1983,Czech Republic,112.9,189,O+
James,Johnson,7/17/1994,Denmark,95.9,188,O+
Lawrence,Anderson,5/18/1996,Belgium,82.6,188,A+
Otávio,Barros,4/7/1983,Denmark,92.5,181,O+
Hugh,Kerr,2/26/1985,Belgium,87.2,172,O+
Matheus,Goncalves,5/23/1989,Cyprus (Anglicized),70.1,176,O+
Gorhendad,Roper,9/13/1996,Belgium,63.9,84,A+
Mat,Tunnelly,4/12/1997,Canada,62.4,90,O+
Dale,Wiggins,2/11/1985,Cyprus (Anglicized),71.8,174,O+
Ponto,Burrows,4/30/1992,Brazil,64.4,97,A+
Ramiro,Uspensky,9/14/1987,Denmark,106.0,188,O+
Murray,Graham,12/5/1989,Cyprus (Anglicized),60.3,188,A+
Raymond,Runge,8/9/1980,Belgium,91.6,176,AB+
Aaran,Dickson,9/4/1986,Cyprus (Anglicized),70.7,185,B+
Christopher,Phillips,3/2/1979,Austria,78.6,171,B+
Luis,Lima,5/11/1987,Cyprus (Anglicized),63.3,173,O+
Thiago,Carvalho,10/1/1990,Belgium,62.6,190,O+
Joao,Azevedo,11/13/1988,Canada,60.9,179,A+
André,Correia,12/5/1993,Cyprus (Anglicized),59.0,167,A+
Finlay,Taylor,7/26/1980,Brazil,90.6,177,A+
Dennis,Moore,3/20/1989,Czech Republic,66.3,181,O+
Luís,Gomes,12/15/1993,Belgium,65.1,181,O-
Holman,Noakes,10/2/1982,Belgium,58.7,83,O+
Kenneth,Caffey,7/11/1984,Austria,62.8,175,O-
Pippin,Gammidge,2/13/1989,Belgium,51.4,82,AB-
Jason,Crowder,1/16/1986,Czech Republic,101.6,190,A+
Peter,McGrew,5/26/1991,Cyprus (Anglicized),89.3,169,A-
Guido,Clayhanger,4/19/1986,Belgium,50.4,67,A+
Luke,Yermolayev,6/17/1993,Cyprus (Anglicized),75.2,163,O+
James,Beach,6/13/1979,Brazil,86.6,168,B+
Nikita,Mishin,6/20/1983,Denmark,68.9,169,A+
Don,Matthews,11/26/1996,Cyprus (Anglicized),74.7,186,A+
Nicodemus,Pokrovskii,2/17/1982,Brazil,110.4,172,A+
Enzo,Rocha,6/18/1990,Cyprus (Anglicized),75.3,176,B+
Donald,Crawford,4/25/1994,Cyprus (Anglicized),64.4,180,B+
Muslim,Ignatiev,3/23/1983,Canada,94.9,178,A-
John,Gerling,1/1/1987,Canada,70.0,169,O+
Patrick,Delong,9/24/1983,Canada,99.4,179,O+
Edward,Hobson,11/15/1987,Czech Republic,106.9,170,O+
Mateus,Carvalho,10/8/1980,Canada,98.9,170,B+
Kenneth,Taylor,7/31/1988,Canada,102.7,178,O+
Porphyry,Belov,6/14/1981,Belgium,107.0,184,O+
Pedro,Miller,1/10/1980,Cyprus (Anglicized),71.8,182,AB+
Corey,Anderson,8/29/1994,Brazil,84.0,164,A+
Karp,Bogdanov,11/30/1994,Brazil,65.6,170,O+
Armen,Biryukov,4/21/1986,Austria,84.9,168,O+
Belisarius,Roper,11/10/1983,Cyprus (Anglicized),52.4,111,O+
Tiago,Rocha,1/6/1986,Cyprus (Anglicized),62.9,186,O+
